id,Label,complexity,ingredients,weekday_lunch,weekday_dinner,weekend_lunch,weekend_dinner,party,late_night,price,movie,drink_coca cola,drink_water,drink_other,drink_soda,parents,siblings,friends,teachers,strangers,hot_sauce
716549,Pizza,3.0,6.0,1,0,0,0,1,1,5.0,Cloudy with a Chance of Meatballs,1,0,0,0,0,0,1,0,0,2
715742,Pizza,4.0,5.75,1,0,0,0,1,1,5.0,All sort of american young boy movies,1,0,0,0,0,0,1,1,1,1
727333,Pizza,3.0,5.0,1,1,1,1,0,0,10.0,action movie,1,0,0,0,0,0,1,0,0,3
606874,Pizza,4.0,6.5,1,1,1,1,1,1,3.0,Mamma Mia,0,0,0,1,0,1,1,1,0,4
505318,Pizza,2.0,3.0,1,1,1,1,1,0,5.0,Cloudy with a chance of meatballs,0,0,0,1,0,1,1,0,0,2
605771,Pizza,4.0,6.0,1,1,1,1,1,1,15.0,None,0,0,0,1,0,1,1,0,0,1
606929,Pizza,3.0,3.5,1,0,0,0,0,0,1.0,dragon,1,0,0,0,0,0,1,0,0,1
609789,Pizza,4.0,4.5,1,1,1,1,1,1,20.0,Rick and Morty,1,0,0,0,0,0,1,0,0,3
644623,Pizza,3.0,5.0,0,1,1,1,1,1,3.0,Home Alone,1,0,0,0,0,0,0,0,0,1
626792,Pizza,3.0,9.0,1,1,1,1,1,1,4.0,Cloudy with a chance of meatballs,1,0,0,0,1,1,1,0,0,4
714863,Pizza,3.0,10.0,0,0,0,1,1,0,20.0,none,1,0,0,0,0,0,1,0,0,1
602805,Pizza,2.0,6.0,1,1,1,1,1,1,12.0,The Big Lebowski,0,0,1,0,1,0,1,0,0,2
602526,Pizza,3.0,4.0,1,1,1,1,1,1,6.0,Spider Man 2,0,0,0,0,1,1,1,0,0,1
497421,Pizza,4.0,4.0,0,0,1,1,1,0,30.0,Cloudy with a Chance of Meatballs ,1,0,0,0,0,0,1,0,0,1
389328,Pizza,3.0,8.0,1,1,1,1,1,1,10.0,Goodfellas,0,0,1,0,0,1,1,0,0,3
289931,Pizza,3.0,5.0,0,0,1,1,1,1,7.0,A Goofy Movie (the disney movie),1,0,0,0,0,0,1,0,0,2
620148,Pizza,2.0,7.0,1,1,1,1,1,0,5.0,Dead Silence,0,0,0,1,0,0,1,0,1,3
387155,Pizza,3.0,6.0,1,1,1,1,1,1,12.0,la la land,0,1,0,0,1,1,1,0,1,2
