id,Q2: How many ingredients would you expect this food item to contain?,Label
716549,6,Pizza
715742,"bread, meet",Pizza
727333,5,Pizza
606874,7-Jun,Pizza
505318,3 or more,Pizza
605771,6,Pizza
606929,about 3 or 4,Pizza
609789,5-Apr,Pizza
644623,5,Pizza
626792,9,Pizza
714863,10,Pizza
602805,6,Pizza
602526,4,Pizza
497421,"I think at least 4 ingredients, such as flour, tomato, cheese, and oil.",Pizza
389328,8,Pizza
289931,"5: Cheese, sauce, dough, meet, vegetables",Pizza
620148,7,Pizza
387155,6,Pizza
516975,"21 (6 for the dough, 15 for the toppings)",Pizza
630825,6,Pizza
614043,10,Pizza
521125,5,Pizza
627780,5,Pizza
492744,10,Pizza
618747,"Bread flour (or pizza dough), Olive oil, Sugar, Tomato, Chess, Pepperoni",Pizza
607815,6,Pizza
601609,10,Pizza
602657,5,Pizza
616449,Three,Pizza
501893,"5: Flour, tomatoes, cheese, meat and basil leaves",Pizza
507448,"Mushrooms, meat, cheese, potato, pepper",Pizza
606556,3,Pizza
724326,"10-12 (Flour, water, yeast, salt, olive oil for the dough, tomato sauce, cheese, pepperoni, veggies and herbs)",Pizza
616945,5,Pizza
630962,4,Pizza
715814,"6 ingredients (tomato sauce, dough, cheese, sausage, mushroom, pepper). Besides these ordinary ones, other ingredients like olives, pineapples, and onions, etc. are also interesting, but overall, the above 6 are the most important (7 as sometimes pineapple is preferred).",Pizza
502799,8,Pizza
605278,"minimum 4 (cheese, tomato sauce, flour, water)",Pizza
388888,8,Pizza
519548,~5-6,Pizza
405521,3,Pizza
607410,8,Pizza
715795,8,Pizza
625326,5,Pizza
627220,3 to 7,Pizza
634964,5,Pizza
722500,10,Pizza
602824,5,Pizza
618355,5,Pizza
611097,7,Pizza
634328,5,Pizza
607160,10,Pizza
728522,6,Pizza
718570,5,Pizza
714598,5,Pizza
601950,4,Pizza
612478,3,Pizza
501416,Around 6-9 excluding condiments.,Pizza
629710,8,Pizza
502610,"There are 3 major ingredients the sauce the dough.crust and the cheese. then the addons ingredients can enhance it.

So 4 in total",Pizza
603476,8,Pizza
600957,10,Pizza
713423,"Maybe about 15 ingredients: starch, egg, sugar, milk, yeast, cheese, salami, corn kernels, peas, mushroom, olive, green pepper, shrimp, tomato, and maybe pineapple (I know, some Italians will want to kill me).",Pizza
722431,"Around 4 to 6 key ingredients (counting only categories, not individual types of each category like different spices or toppings). ",Pizza
633234,6,Pizza
148179,5,Pizza
715845,9,Pizza
632153,"Around 10 or so, depending on the flavour",Pizza
606552,6,Pizza
738409,4,Pizza
612096,6,Pizza
743537,5,Pizza
632896,"I expect this food item to contain 10 ingredients.

 ",Pizza
605207,3,Pizza
617542,"Varies depending on personal choice. Basic/Main ingredients can be around 3. Additional ingredients can be added, usually around 2-5. ",Pizza
719554,3,Pizza
627427,4,Pizza
411315,7,Pizza
631507,8,Pizza
627798,8,Pizza
712093,10,Pizza
627488,"yeast water flour egg salt (dough), cheese peporonni sausage other vegetables 

total: 10",Pizza
626493,5,Pizza
601363,"6-8 a simple pizza, can have many more ",Pizza
712898,8,Pizza
603398,10,Pizza
631012,7,Pizza
601848,6,Pizza
612131,5,Pizza
408630,5,Pizza
632091,5,Pizza
601122,7,Pizza
602871,5,Pizza
520828,9,Pizza
514199,7,Pizza
389697,6,Pizza
714430,10,Pizza
612567,6,Pizza
744468,3,Pizza
502722,Around 6 ingredients in a basic cheese pizza recipe,Pizza
519681,10,Pizza
631125,5,Pizza
606119,"Flour, yeast, tomato sauce, cheese, pepperoni, (6-7?)",Pizza
627252,8,Pizza
616568,at least 3,Pizza
603838,5,Pizza
719735,"1. Dough

2. Sauce

3. Cheese

4. Your choice of protein

5. Vegetables (optional)",Pizza
608062,10,Pizza
608704,3,Pizza
520383,This food item has a variable number of ingredients. It could contain as little as three but will often contain more and there is no upper limit.,Pizza
603793,4,Pizza
603933,"Around 4-5, including dough, tomato sauce, cheese, olive oil, and optional basil",Pizza
605519,6,Pizza
524803,4 or more,Pizza
629712,5,Pizza
627505,7,Pizza
526131,"I would expect it to contain:

* Bread

* Cheese

* Tomato Sauce

* Possibly pepperoni

* Any other toppings",Pizza
607065,5,Pizza
500077,8,Pizza
633350,7,Pizza
601945,7,Pizza
629878,"At least 3 (flour, olive oil, seasonings etc.)",Pizza
712766,A minimum of 5-10 ingredients are required.,Pizza
603664,8,Pizza
840827,6,Pizza
604897,15,Pizza
525422,3,Pizza
602560,"I believe that it depends on what kind of pizza we are talking about but just talking about most conventional and simple pizza, I would say 3 - dough, cheese, and sauce. ",Pizza
738379,Around 7-10,Pizza
622023,3,Pizza
