id,Q4: How much would you expect to pay for one serving of this food item?,Label
716549,5,Pizza
715742,5$ for a large piece,Pizza
727333,10dollar,Pizza
606874,$3 ,Pizza
505318,$5 ,Pizza
605771,$15 ,Pizza
606929,1,Pizza
609789,20 dollar,Pizza
644623,3 dollars,Pizza
626792,4,Pizza
714863,20,Pizza
602805,12 Canadian Dollars,Pizza
602526,$6 ,Pizza
497421,At most 30 CAD,Pizza
389328,$10 ,Pizza
289931,"One serving being two slices, I would expect to pay around $7",Pizza
620148,5,Pizza
387155,12,Pizza
516975,"$2 - $3

 ",Pizza
630825,8 dollar,Pizza
614043,15,Pizza
521125,$3.00 ,Pizza
627780,$8 ,Pizza
492744,10,Pizza
618747,"If it's in a fast food pizza store, a single slice costs around $6, and a full pizza costs around $15. For a full wood-fired pizza in restaurant, it's around $25.",Pizza
607815,30 CAD,Pizza
601609,6,Pizza
602657,10,Pizza
616449,$5 ,Pizza
501893,CAD20-25,Pizza
507448,20,Pizza
606556,8 dollars,Pizza
724326,Around $3 for one slice ,Pizza
616945,15,Pizza
630962,10,Pizza
715814,"About 10 -13 CAD. Usually, it would be a good fit if the price is from 10.99 - 11.99 canadian dollars for a medium size one (that usually I can have for 2-3 meals).",Pizza
502799,$10 ,Pizza
605278,$4 ,Pizza
388888,5,Pizza
519548,$6 ,Pizza
405521,4,Pizza
607410,About $13.,Pizza
715795,$13 ,Pizza
625326,$3 ,Pizza
627220,6 to 7 dollars,Pizza
634964,$20 ,Pizza
722500,$15 ,Pizza
602824,15 dollars,Pizza
618355,15,Pizza
611097,10,Pizza
634328,$5 ,Pizza
607160,"$15 for a whole pizza

$3 for a slice",Pizza
728522,12,Pizza
718570,15,Pizza
714598,4.5 cad,Pizza
601950,3 per slide,Pizza
612478,$7 ,Pizza
501416,Around $7~15 before tax.,Pizza
629710,$15 ,Pizza
502610,Around 30-40 $,Pizza
603476,15,Pizza
600957,$6 ,Pizza
713423,CA$15,Pizza
722431,"Maybe 20$, for 14'' or 16''.",Pizza
633234,$5 ,Pizza
148179,7,Pizza
715845,$20 ,Pizza
632153,At most $6,Pizza
606552,"For one slice? Like 5 dollars.

For a whole pizza? 15 dollars",Pizza
738409,3,Pizza
612096,4.99,Pizza
743537,15 dollars,Pizza
632896,I would expect to pay 7 dollars for 1 serving. ,Pizza
605207,$12 ,Pizza
