id,parents,siblings,friends,teachers,strangers,Label
716549,0,0,1,0,0,Pizza
715742,0,0,1,1,1,Pizza
727333,0,0,1,0,0,Pizza
606874,0,1,1,1,0,Pizza
505318,0,1,1,0,0,Pizza
605771,0,1,1,0,0,Pizza
606929,0,0,1,0,0,Pizza
609789,0,0,1,0,0,Pizza
644623,0,0,0,0,0,Pizza
626792,1,1,1,0,0,Pizza
714863,0,0,1,0,0,Pizza
602805,1,0,1,0,0,Pizza
602526,1,1,1,0,0,Pizza
497421,0,0,1,0,0,Pizza
389328,0,1,1,0,0,Pizza
289931,0,0,1,0,0,Pizza
620148,0,0,1,0,1,Pizza
387155,1,1,1,0,1,Pizza
516975,0,0,1,0,0,Pizza
630825,1,0,0,0,0,Pizza
614043,0,1,1,0,0,Pizza
521125,1,1,1,1,0,Pizza
627780,0,0,1,1,0,Pizza
492744,1,0,1,0,0,Pizza
618747,0,0,1,0,0,Pizza
607815,0,0,1,1,0,Pizza
601609,0,0,1,0,0,Pizza
602657,0,0,1,1,0,Pizza
616449,1,0,1,0,0,Pizza
501893,0,1,1,0,0,Pizza
507448,0,0,1,0,0,Pizza
606556,0,0,0,1,0,Pizza
724326,0,0,1,0,0,Pizza
616945,0,0,0,1,0,Pizza
630962,0,0,1,1,0,Pizza
715814,1,0,1,1,0,Pizza
502799,1,1,1,0,0,Pizza
605278,0,0,1,1,1,Pizza
388888,0,0,1,0,0,Pizza
519548,1,1,1,1,0,Pizza
405521,0,0,1,0,0,Pizza
607410,0,1,0,1,0,Pizza
715795,1,0,1,1,0,Pizza
625326,0,1,1,1,0,Pizza
627220,0,0,1,0,0,Pizza
634964,1,0,1,0,0,Pizza
722500,1,1,1,1,0,Pizza
602824,1,1,1,0,0,Pizza
618355,0,0,1,1,1,Pizza
611097,0,1,1,0,0,Pizza
634328,1,1,1,0,0,Pizza
607160,0,0,0,1,0,Pizza
728522,0,1,1,1,0,Pizza
718570,0,0,1,0,1,Pizza
714598,1,1,1,1,0,Pizza
601950,0,0,1,0,0,Pizza
612478,1,1,1,0,0,Pizza
501416,0,0,0,1,1,Pizza
629710,1,1,1,0,0,Pizza
502610,1,1,1,0,0,Pizza
603476,1,1,1,0,0,Pizza
600957,0,1,0,0,0,Pizza
713423,1,1,1,1,0,Pizza
722431,0,0,1,0,0,Pizza
633234,0,1,1,1,0,Pizza
148179,0,0,1,0,0,Pizza
715845,0,0,1,0,0,Pizza
632153,0,0,1,0,0,Pizza
606552,1,1,1,0,0,Pizza
738409,0,0,0,1,1,Pizza
612096,1,0,1,1,0,Pizza
743537,0,0,1,0,1,Pizza
632896,0,1,1,0,1,Pizza
605207,0,0,1,0,0,Pizza
617542,0,0,1,0,0,Pizza
719554,0,0,1,0,1,Pizza
627427,0,0,1,0,1,Pizza
411315,0,0,1,0,1,Pizza
631507,0,0,1,0,0,Pizza
627798,0,0,1,0,0,Pizza
712093,0,0,0,1,1,Pizza
627488,0,0,1,1,0,Pizza
626493,1,1,1,1,0,Pizza
601363,0,1,1,1,0,Pizza
712898,1,0,0,0,0,Pizza
603398,0,0,1,0,0,Pizza
631012,1,1,1,0,0,Pizza
601848,1,1,1,1,0,Pizza
612131,1,1,0,1,0,Pizza
408630,0,1,1,1,0,Pizza
632091,1,1,1,1,0,Pizza
601122,1,1,1,0,1,Pizza
602871,0,0,1,0,0,Pizza
520828,0,1,1,0,0,Pizza
514199,0,0,1,0,0,Pizza
389697,0,0,1,1,0,Pizza
714430,0,0,1,0,0,Pizza
612567,0,1,1,0,0,Pizza
744468,0,0,1,0,0,Pizza
502722,0,1,1,0,0,Pizza
519681,0,0,1,0,0,Pizza
631125,1,1,0,0,0,Pizza
606119,0,0,1,0,0,Pizza
627252,0,1,1,0,0,Pizza
616568,1,1,1,0,0,Pizza
603838,0,0,1,0,0,Pizza
719735,0,0,1,0,0,Pizza
608062,0,0,1,1,0,Pizza
608704,1,1,1,1,0,Pizza
520383,0,0,1,1,0,Pizza
603793,0,0,1,0,1,Pizza
603933,0,0,1,0,0,Pizza
605519,0,0,1,1,0,Pizza
524803,0,0,1,1,0,Pizza
629712,0,0,1,0,0,Pizza
627505,1,1,0,0,0,Pizza
526131,0,0,1,1,0,Pizza
607065,0,1,1,0,0,Pizza
500077,0,0,0,1,0,Pizza
633350,0,0,1,1,1,Pizza
601945,1,0,1,1,0,Pizza
629878,0,0,1,0,0,Pizza
712766,0,1,1,1,0,Pizza
603664,0,0,0,0,1,Pizza
840827,0,0,1,0,0,Pizza
604897,0,0,1,1,1,Pizza
525422,0,0,1,0,0,Pizza
602560,0,0,1,0,0,Pizza
738379,1,1,1,0,0,Pizza
622023,0,0,1,0,0,Pizza
604770,0,0,1,0,0,Pizza
608318,0,0,1,0,0,Pizza
626757,0,0,1,0,1,Pizza
745297,1,0,1,1,0,Pizza
627599,1,1,1,1,0,Pizza
520037,0,0,1,1,1,Pizza
632189,0,0,1,0,0,Pizza
627636,0,0,1,0,0,Pizza
295428,0,1,1,1,1,Pizza
228777,0,0,0,1,0,Pizza
609278,1,1,1,1,0,Pizza
614089,0,1,0,0,0,Pizza
607517,0,1,1,0,0,Pizza
714607,0,1,1,0,0,Pizza
716650,0,0,1,1,1,Pizza
497695,0,0,1,0,0,Pizza
496858,1,1,1,1,0,Pizza
608688,1,1,1,1,0,Pizza
604386,1,0,1,0,0,Pizza
628559,0,0,1,0,0,Pizza
715152,0,0,1,0,0,Pizza
604110,1,0,1,0,0,Pizza
629010,1,0,1,1,1,Pizza
605254,0,0,1,0,0,Pizza
628990,1,1,1,1,0,Pizza
625295,0,0,1,0,0,Pizza
603415,0,0,1,0,0,Pizza
635533,0,0,1,0,0,Pizza
630389,0,0,1,0,0,Pizza
714901,0,0,1,0,0,Pizza
629792,1,1,1,0,0,Pizza
629025,0,0,1,0,1,Pizza
524441,0,1,1,0,0,Pizza
389109,0,0,1,0,0,Pizza
631216,0,0,1,0,0,Pizza
738875,1,1,1,1,1,Pizza
634669,1,1,1,1,0,Pizza
409940,1,0,1,0,0,Pizza
399605,1,0,1,0,0,Pizza
721831,1,1,1,0,0,Pizza
835223,0,0,1,0,1,Pizza
712938,0,0,1,0,0,Pizza
395712,0,0,1,1,1,Pizza
603388,0,0,1,0,0,Pizza
617774,1,0,0,1,0,Pizza
289440,0,0,1,0,1,Pizza
714503,0,0,1,0,0,Pizza
714893,0,1,1,0,0,Pizza
601094,0,1,1,0,0,Pizza
618150,0,1,1,0,0,Pizza
607944,0,0,1,0,0,Pizza
629844,1,1,1,1,0,Pizza
626482,0,0,1,0,0,Pizza
609257,0,1,1,1,0,Pizza
717921,0,0,1,1,0,Pizza
181851,0,0,1,0,0,Pizza
629041,0,0,1,0,1,Pizza
