id,Q5: What movie do you think of when thinking of this food item?,Label
716549,Cloudy with a Chance of Meatballs,Pizza
715742,All sort of american young boy movies,Pizza
727333,action movie,Pizza
606874,Mamma Mia,Pizza
505318,Cloudy with a chance of meatballs,Pizza
605771,None,Pizza
606929,dragon,Pizza
609789,Rick and Morty,Pizza
644623,Home Alone,Pizza
626792,Cloudy with a chance of meatballs,Pizza
714863,none,Pizza
602805,The Big Lebowski,Pizza
602526,Spider Man 2,Pizza
497421,Cloudy with a Chance of Meatballs ,Pizza
389328,Goodfellas,Pizza
289931,A Goofy Movie (the disney movie),Pizza
620148,Dead Silence,Pizza
387155,la la land,Pizza
516975,Harry Potter & The Philosopher's Stone,Pizza
630825,Transformer,Pizza
614043,Ninja turtles ,Pizza
521125,High School Musical 3,Pizza
627780,Despicable Me,Pizza
492744,Teenage Mutant Ninja Turtles,Pizza
618747,Toy Story,Pizza
607815,The Godfather,Pizza
601609,Spiderman,Pizza
602657,Pizza,Pizza
616449,Teenage Mutant Ninja Turtles,Pizza
501893,Fast & Furious,Pizza
507448,Teenage Mutant Ninja Turtles,Pizza
606556,The Garfield Movie,Pizza
724326,"""Spider-Man: No Way Home""",Pizza
616945,ratatouille,Pizza
630962,Five Nights At Freddies,Pizza
715814,"Not exactly movies, but I would prefer to watch some TV series when I am having pizzas. If movies specifically, I may think of cartoon movies or more ""hero""/marvel related ones, like Teenage Mutant Ninja Turtles, movies in marvel series, etc..",Pizza
502799,Back to the future,Pizza
605278,Godfather,Pizza
388888,Mystic Pizza,Pizza
519548,Spider man 2,Pizza
405521,futurama,Pizza
607410,Iron Man I,Pizza
715795,Life of Pi,Pizza
625326,Avengers,Pizza
627220,Despicable Me,Pizza
634964,Spider-man,Pizza
722500,Home Alone,Pizza
602824,Any American movie,Pizza
618355,king kong,Pizza
611097,Home Alone,Pizza
634328,Teenage Mutant Ninja Turtles ,Pizza
607160,cloudy with a chance of meatballs,Pizza
728522,Marvel Movies,Pizza
718570,None,Pizza
714598,The Garfield Movie,Pizza
601950,Garfield,Pizza
612478,Grown ups,Pizza
501416,N/A (I don't watch a lot of movies),Pizza
629710,deadpool,Pizza
502610,Cloudy with a chance of meatball,Pizza
603476,whiplash,Pizza
600957,Home alone,Pizza
713423,Inside Out,Pizza
722431,Teenage Mutant Ninja Turtles.,Pizza
633234,Avengers,Pizza
148179,None,Pizza
715845,Cloudy with a Chance of Meatballs,Pizza
632153,Ratatouille,Pizza
606552,Superbad,Pizza
738409,stranger things,Pizza
612096,Ratatouille,Pizza
743537,Pizza (2012),Pizza
632896,Home Alone,Pizza
605207,Teenage Mutant Ninja Turtles,Pizza
617542,Ninja Turtles,Pizza
719554,None,Pizza
627427,Air Bud,Pizza
411315,Deadpool,Pizza
631507,A quiet place: day one (2024),Pizza
627798,Finding Nemo,Pizza
712093,Avengers Endgame,Pizza
627488,Ratatouille,Pizza
626493,My Cousin Vinny,Pizza
601363,Garfield,Pizza
712898,Garfield,Pizza
603398,"Eat, Pray, Love",Pizza
631012,Ratatouille,Pizza
601848,Ratatouille,Pizza
612131,Home Alone,Pizza
408630,Five Nights at Freddy's,Pizza
632091,No movie,Pizza
601122,Home Alone,Pizza
602871,Spider-Man 2,Pizza
520828,Teenage Mutant Ninja Turtles,Pizza
514199,None,Pizza
389697,Comedy,Pizza
714430,iron man,Pizza
612567,Star Wars,Pizza
744468,Spider-Man,Pizza
502722,Any teenage mutant ninja turtle movie,Pizza
519681,The Dark Knight,Pizza
631125,Home Alone 2: Lost in New York,Pizza
606119,Pulp fiction,Pizza
627252,Ninja Turtles,Pizza
616568,fast and furious,Pizza
603838,Teenage Mutant Ninja Turtles,Pizza
719735,Spiderman 2,Pizza
608062,Spider man  ,Pizza
608704,Home Alone,Pizza
520383,I don't think of a movie when thinking of this food item,Pizza
603793,Home Alone,Pizza
603933,"""The Truman Show""",Pizza
605519,I think of home alone. ,Pizza
524803,Breaking Bad,Pizza
629712,Interstellar,Pizza
627505,Rush Hour,Pizza
526131,"I think about movies like ""Holes"" or ""Shrek"", since it reminds me of the movies teachers would put on for us during school events.",Pizza
607065,Scooby Doo,Pizza
500077,Back to the Future 2,Pizza
633350,Ratatouille,Pizza
601945,Princess Diaries (the apology scene),Pizza
629878,WALL-E,Pizza
712766,Home alone,Pizza
603664,Ratatouille,Pizza
840827,Avengers,Pizza
604897,Teenage Mutant Ninja Turtles,Pizza
525422,Spiderman,Pizza
602560,I think about a nice chill movie with Pizza maybe something like Hangover. ,Pizza
738379,Teenage Mutant Ninja Turtles,Pizza
622023,Ninja Turtles,Pizza
604770,spiderman,Pizza
608318,Ratatouille,Pizza
626757,Spiderman,Pizza
745297,Teenage Mutant Ninja Turtles,Pizza
627599,Deadpool,Pizza
520037,Home Alone,Pizza
632189,Spider man,Pizza
627636,Spy Kids 3D,Pizza
295428,Squid game,Pizza
228777,running man ,Pizza
609278,Ratatouille,Pizza
614089,The Godfather,Pizza
607517,Recep Ivedik 2,Pizza
714607,Venom,Pizza
716650,"I usually associate this item with the winter because school parties would frequently order this food item. Hence, I would say The Polar Express, Elf, and Home Alone.",Pizza
497695,Moneyball,Pizza
496858,"Home Alone! When the delivery guy delivers a cheese pizza ""Little Nero's Pizza"" through the back door for Kevin, when he gets stuck home alone! ",Pizza
608688,"Inside Out, Teenage Mutant Ninja Turtles",Pizza
604386,Ratatouille,Pizza
628559,Avengers 1,Pizza
715152,"hangover, or any teen party movies which features a lot of sweet stuff.",Pizza
604110,Home Alone,Pizza
629010,Coraline,Pizza
605254,None,Pizza
628990,Life if Pi,Pizza
625295,Home Alone,Pizza
603415,Home Alone,Pizza
635533,James Bond 007,Pizza
630389,Sam Raimi's Spider Man,Pizza
714901,Cloudy with a Chance of Meatballs,Pizza
629792,the goofy movie,Pizza
629025,Teenage Mutant Ninja Turtles,Pizza
524441,Teenage Mutant Ninja Turtles,Pizza
389109,Cloudy With a Chance of Meatballs,Pizza
631216,A Quiet Place 2,Pizza
738875,Home alone,Pizza
634669,Carry-On,Pizza
409940,spiderman,Pizza
399605,Teenage Mutant Ninja Turtles,Pizza
721831,Home Alone,Pizza
835223,Set it up,Pizza
712938,Green Book,Pizza
395712,Teenage Mutant Ninja Turtles,Pizza
603388,Garfield,Pizza
617774,Cars,Pizza
289440,Teenage Mutant Ninja Turtles,Pizza
714503,"relaxing, comedy",Pizza
714893,Home Alone 2,Pizza
601094,teenage mutant ninja turtles,Pizza
618150,Home alone,Pizza
607944,Spiderman,Pizza
629844,Ratatouille,Pizza
626482,The Godfather,Pizza
609257,High School Musical ,Pizza
717921,Zootopia,Pizza
181851,None,Pizza
629041,Home Alone,Pizza
604062,"Honestly any movie, pizza is a movie food.",Pizza
716749,no,Pizza
633143,Teenage Mutant Ninja Turtles,Pizza
743828,Mario Movie,Pizza
520861,ratatouille,Pizza
517019,30 minutes or less,Pizza
626779,Home alone,Pizza
611716,Home alone,Pizza
193195,21 Jump Street,Pizza
627530,Free Guy,Pizza
626479,Spider-man? Just cause it takes place in New York...,Pizza
624540,harry poter,Pizza
625315,Home Alone,Pizza
601941,"none, stranger things is the tv series I can think of.",Pizza
723968,Godfather,Pizza
715806,Soul,Pizza
720045,The Godfather,Pizza
713585,Idk,Pizza
611188,Five Nights at Freddy’s,Pizza
606726,Life is Beautiful,Pizza
629142,I think of the movie Cloudy with a Chance of Meatballs.,Pizza
634825,Cloudy with a chance of meatballs,Pizza
613409,The wicked,Pizza
633224,Home Alone,Pizza
738850,Five Nights at Freddy's,Pizza
500470,Ratatouille,Pizza
13183,Harold & Kumar Go to White Castle,Pizza
627169,Teenage Mutant Ninja Turtles,Pizza
229041,home alone,Pizza
496344,Spider Man,Pizza
409723,Home alone ,Pizza
630949,Lord of the Rings,Pizza
413014,"Something fun, like Superbad",Pizza
310438,Home Alone,Pizza
627430,Home Alone,Pizza
526510,None,Pizza
390823,The Hangover,Pizza
717116,Breaking Bad (not a movie),Pizza
712143,Little Italy,Pizza
612538,Toy Story,Pizza
627539,The Mario Movie,Pizza
603812,Home Alone,Pizza
740568,Little Italy,Pizza
712702,everything everywhere all at once,Pizza
519638,Barbie,Pizza
627800,hitman,Pizza
406863,Teenage Mutant Ninja Turtles,Pizza
726962,Spiderman,Pizza
628077,Breaking Bad,Pizza
601693,Mystic Pizza,Pizza
517096,Home Alone,Pizza
606821,Back to the Future,Pizza
455047,None,Pizza
625576,Liquorice Pizza,Pizza
716549,The Avengers,Shawarma
715742,"None...

Ok tbf i think of my life at uoft, if life is a movie",Shawarma
727333,action movie,Shawarma
606874,The Dictator,Shawarma
505318,Superbad,Shawarma
605771,None,Shawarma
606929,dragon,Shawarma
609789,Nothing,Shawarma
644623,avengers,Shawarma
626792,anjaana anjaani,Shawarma
714863,none,Shawarma
602805,The Avengers,Shawarma
602526,Hawkeye,Shawarma
497421,Argo,Shawarma
389328,Transformers,Shawarma
289931,Aladdin,Shawarma
620148,The Invisible Guest,Shawarma
387155,Squid game,Shawarma
516975,The Avengers,Shawarma
630825,Titanic,Shawarma
614043,Avengers 1,Shawarma
521125,The Avengers,Shawarma
627780,1001 Nights,Shawarma
492744,The Avengers,Shawarma
618747,The Avengers,Shawarma
607815,The Avengers,Shawarma
601609,Fast Furious,Shawarma
602657,The Avengers,Shawarma
616449,The Avengers,Shawarma
501893,"not sure...maybe Turkish movies? But it will remind me of a game called Shawarma Legend, which is a simulation game and highly recommended!",Shawarma
507448,The Avengers,Shawarma
606556,Dangal,Shawarma
724326,"""Star Wars: Episode V - The Empire Strikes Back""",Shawarma
616945,ratatouille,Shawarma
630962,Spiderman Into The Spiderverse,Shawarma
715814,"I might think of some short ones or simply videos as when I am having shawarma, I do not usually have much time and the food is some hands' size so people can usually finish it up quickly, so I would say no movie/short ones like Monster Inc.",Shawarma
502799,Slumdog millionaire ,Shawarma
605278,Cleopatra,Shawarma
388888,The Avengers,Shawarma
519548,The Avengers (2012),Shawarma
405521,None,Shawarma
607410,The Kite Runner,Shawarma
715795,2012,Shawarma
625326,The Boys,Shawarma
627220,Mission Impossible,Shawarma
634964,The Avengers,Shawarma
