id,Q6: What drink would you pair with this food item?,Label
716549,Coke ,Pizza
715742,Coke,Pizza
727333,cola,Pizza
606874,Soda,Pizza
505318,Soda,Pizza
605771,Soda,Pizza
606929,coke ,Pizza
609789,coke,Pizza
644623,Coca Cola,Pizza
626792,Coke,Pizza
714863,regular coke,Pizza
602805,Ice Tea,Pizza
602526,lemonade,Pizza
497421,Coke,Pizza
389328,Red Wine,Pizza
289931,Pop like Coke ,Pizza
620148,Sprite,Pizza
387155,water,Pizza
516975,Coke,Pizza
630825,Soup,Pizza
614043,Coke,Pizza
521125,Root beer,Pizza
627780,Coke,Pizza
492744,Soda,Pizza
618747,"Soft drinks. For example, 7up",Pizza
607815,Coke,Pizza
601609,Diet Coke,Pizza
602657,cola,Pizza
616449,Sparkling Water,Pizza
501893,Coke,Pizza
507448,Coke,Pizza
606556,Cola,Pizza
724326,Coca-Cola and iced tea,Pizza
616945,coca cola,Pizza
630962,Coca Cola,Pizza
715814,"All sorts of carbonated drinks(e.g. coca-cola, pepsi, mirinda series drinks, fanta series drinks etc.). Non carbonated drinks are not preferred when I am having pizzas.",Pizza
502799,Ice tea,Pizza
605278,Coke,Pizza
388888,Coke,Pizza
519548,Coke,Pizza
405521,coke,Pizza
607410,Orange Fanta,Pizza
715795,Hot chocolate,Pizza
625326,Soda,Pizza
627220,Mountain Dew,Pizza
634964,Beer,Pizza
722500,coke,Pizza
602824,Soda,Pizza
618355,coke,Pizza
611097,coke,Pizza
634328,Soda,Pizza
607160,diet coke,Pizza
728522,Diet Pepsi,Pizza
718570,coke,Pizza
714598,Coca-cola,Pizza
601950,Coke,Pizza
612478,Diet coke,Pizza
501416,Carbonated soft drink,Pizza
629710,coke,Pizza
502610,Coca cola zero,Pizza
603476,coke,Pizza
600957,Water,Pizza
713423,Coke,Pizza
722431,"Orange juice, my favourite.",Pizza
633234,Coke,Pizza
148179,Cola,Pizza
715845,Coke,Pizza
632153,Sparkling water,Pizza
606552,Coca Cola,Pizza
738409,pepsi,Pizza
612096,Sprite,Pizza
743537,Coke,Pizza
632896,Coke,Pizza
605207,Coke,Pizza
617542,Coke,Pizza
719554,Juice,Pizza
627427,Soda,Pizza
411315,coke,Pizza
631507,Soda,Pizza
627798,Coca Cola,Pizza
712093,Coca Cola,Pizza
627488,Soda,Pizza
626493,San Pellegrino Sparkling Water,Pizza
601363,A Ginger Ale,Pizza
712898,Diet Coke,Pizza
603398,Coca-Cola,Pizza
631012,Coke,Pizza
601848,Coke with lemon,Pizza
612131,Coca-cola,Pizza
408630,soda,Pizza
632091,A can of soda,Pizza
601122,Coke,Pizza
602871,Coke,Pizza
520828,Diet Coke,Pizza
514199,Nestea,Pizza
389697,Coke,Pizza
714430,orange juice,Pizza
612567,Coca cola,Pizza
744468,Coke,Pizza
502722,Soft cola or lemon drink,Pizza
519681,Diet Coke,Pizza
631125,Coke,Pizza
606119,Coke,Pizza
627252,Water,Pizza
616568,soda,Pizza
603838,Soda,Pizza
719735,Coke,Pizza
608062,Coca cola ,Pizza
608704,Coke,Pizza
520383,Coke,Pizza
603793,soda,Pizza
603933,sprite,Pizza
605519,Dr. Pepper,Pizza
524803,Soda,Pizza
629712,Coca Cola,Pizza
627505,Pepsi,Pizza
526131,I would pair sweet soft drinks like Coke or Pepsi with it. This is because of how it was usually served to me at school events.,Pizza
607065,Coke,Pizza
500077,Diet coke,Pizza
633350,Coke,Pizza
601945,Diet Coke,Pizza
629878,Water,Pizza
712766,Soft drink,Pizza
603664,coke,Pizza
840827,Coke,Pizza
604897,soda,Pizza
525422,Soda,Pizza
602560,"The only drink I ever have with pizza is coke i.e, Cola. ",Pizza
738379,"Coke, iced tea.",Pizza
622023,Coke Zero,Pizza
604770,coke,Pizza
608318,wine,Pizza
626757,Pop,Pizza
745297,Coke,Pizza
627599,Diet coke,Pizza
520037,Coke,Pizza
632189,Coca Cola,Pizza
627636,Pepsi,Pizza
295428,soft drink,Pizza
228777,Coca Cola ,Pizza
609278,Soda,Pizza
614089,Coke,Pizza
607517,Coke,Pizza
714607,Coke,Pizza
716650,I would pair some type of soda with this food item — something like a sprite or a coca-cola. ,Pizza
497695,Soda,Pizza
496858,"I love Kombucha, so maybe a mango or citrusy kombucha. Something carbonated!",Pizza
608688,Soda,Pizza
604386,soft drink,Pizza
628559,Coke,Pizza
715152,"carbonated sweet drinks, such as cocacola, pepsi, etc",Pizza
604110,Coca-Cola,Pizza
629010,Nestea,Pizza
605254,Diet Coke,Pizza
628990,Soda,Pizza
625295,Pop,Pizza
603415,Soda,Pizza
635533,Coke,Pizza
630389,Chocolate Milk,Pizza
714901,Pepsi (or any soda),Pizza
629792,pop,Pizza
629025,Soda,Pizza
524441,Ginger ale,Pizza
389109,Canada Dry Ginger Ale,Pizza
631216,coke,Pizza
738875,Milk,Pizza
634669,Sprite,Pizza
409940,diet coke,Pizza
399605,coke,Pizza
721831,Coke,Pizza
835223,coke,Pizza
712938,coke,Pizza
395712,"Pop, Coca-Cola, 7up, crush",Pizza
603388,Coke,Pizza
617774,Iced tea,Pizza
289440,coke,Pizza
714503,cola,Pizza
714893,Coke,Pizza
601094,soda,Pizza
618150,Diet coke,Pizza
607944,Milk,Pizza
629844,Orange juice,Pizza
626482,Pop,Pizza
609257,Rootbeer,Pizza
717921,Lemonade,Pizza
181851,pops,Pizza
629041,Coke,Pizza
604062,Some sort of soft drink.,Pizza
716749,water or  lemon water,Pizza
633143,Soft drinks such as Coca-Cola,Pizza
743828,Soda Pop,Pizza
520861,Soda,Pizza
517019,pop,Pizza
626779,soda,Pizza
611716,coke,Pizza
193195,Coca Cola,Pizza
627530,Coca-Cola,Pizza
626479,Any type of soda,Pizza
624540,bubble tea,Pizza
625315,Soft drink,Pizza
601941,cococola,Pizza
723968,Nestea,Pizza
715806,coke,Pizza
720045,Water,Pizza
713585,Soda,Pizza
611188,Ginger Ale,Pizza
606726,Orange Juice,Pizza
629142,I would pair pop with this food item.,Pizza
634825,Soda,Pizza
613409,Coke-Cola,Pizza
633224,Coca Cola,Pizza
738850,Coca Cola,Pizza
500470,Soda,Pizza
13183,ice tea,Pizza
627169,Coke,Pizza
229041,soda,Pizza
496344,Coke,Pizza
409723,Coke,Pizza
630949,Soda,Pizza
413014,A soda such as Coca-Cola,Pizza
310438,Coke,Pizza
627430,Coke,Pizza
526510,cola,Pizza
390823,Coke,Pizza
717116,coke or diet coke,Pizza
712143,Cola,Pizza
612538,Coca Cola,Pizza
627539,Coca Cola,Pizza
603812,Root Beer,Pizza
740568,Coke,Pizza
712702,pineapple juice ,Pizza
519638,Sprite,Pizza
627800,Soda,Pizza
406863,coke,Pizza
726962,coke,Pizza
628077,Soda ,Pizza
601693,Diet Coke,Pizza
517096,Coca Cola,Pizza
606821,Sprite,Pizza
455047,coke,Pizza
625576,Water,Pizza
716549,Hot water ,Shawarma
715742,lemon tea,Shawarma
727333,water,Shawarma
606874,Juice,Shawarma
505318,Ayran,Shawarma
605771,Water,Shawarma
606929,coke,Shawarma
609789,Coke,Shawarma
644623,None,Shawarma
626792,water,Shawarma
714863,juice,Shawarma
602805,Water,Shawarma
602526,orange juice,Shawarma
497421,Coke,Shawarma
389328,Beer,Shawarma
289931,Pop like Coke,Shawarma
620148,Water,Shawarma
387155,water,Shawarma
516975,Ginger ale,Shawarma
630825,Juice,Shawarma
614043,Ayran ,Shawarma
521125,Root beer,Shawarma
627780,Water,Shawarma
492744,Soda,Shawarma
618747,Soft drinks,Shawarma
607815,Coke,Shawarma
601609,Nestea,Shawarma
602657,milk tea,Shawarma
616449,Soda,Shawarma
501893,orange juice,Shawarma
507448,Coke,Shawarma
606556,Cola,Shawarma
724326,Water,Shawarma
616945,sprite,Shawarma
630962,Water,Shawarma
715814,I would simply pair it with water as I have never experienced much about the food item before.,Shawarma
502799,Ice tea,Shawarma
605278,Sprite,Shawarma
388888,iced tea,Shawarma
519548,Water,Shawarma
405521,mango juice,Shawarma
607410,Coca Cola Zero,Shawarma
715795,Orange juice,Shawarma
625326,Lassi,Shawarma
627220,Coca-cola,Shawarma
634964,Coke,Shawarma
722500,orange juice,Shawarma
602824,Water,Shawarma
618355,coke,Shawarma
611097,coke,Shawarma
634328,Soda,Shawarma
607160,Orange juice,Shawarma
728522,Nestea,Shawarma
718570,coke,Shawarma
714598,Carbonated drink,Shawarma
601950,coke,Shawarma
612478,Diet coke,Shawarma
501416,Soft drink (catbonated or not),Shawarma
629710,Apple juice,Shawarma
502610,coca cola zero,Shawarma
603476,coke,Shawarma
600957,Water,Shawarma
713423,juice?,Shawarma
722431,Nestea.,Shawarma
633234,Iced Tea,Shawarma
148179,Cola,Shawarma
715845,Orange juice,Shawarma
632153,Sprite,Shawarma
606552,Nestea,Shawarma
738409,Water,Shawarma
612096,Coke,Shawarma
743537,Sprite,Shawarma
632896,Coke,Shawarma
605207,Water,Shawarma
617542,Juice,Shawarma
719554,None,Shawarma
627427,Water,Shawarma
411315,coke,Shawarma
631507,Soda,Shawarma
627798,Sprite,Shawarma
712093,Coca Cola,Shawarma
627488,Soda,Shawarma
626493,Apple Juice,Shawarma
601363,Ayran,Shawarma
712898,Nestea,Shawarma
603398,Lemon Mint Juice,Shawarma
631012,Diet Coke,Shawarma
601848,Iced lemon tea,Shawarma
612131,Mineral water,Shawarma
408630,water,Shawarma
632091,a can of soda,Shawarma
601122,Coke,Shawarma
602871,Coke,Shawarma
520828,Water,Shawarma
514199,Water,Shawarma
389697,"Water

Fruit juice/smoothie

Sparkling water

Soft drinks",Shawarma
714430,orange juice,Shawarma
612567,Juice,Shawarma
744468,Orange Fanta,Shawarma
502722,Water or sprite,Shawarma
519681,Diet Coke,Shawarma
631125,Coke,Shawarma
606119,Coke,Shawarma
627252,Water,Shawarma
616568,soda,Shawarma
603838,Lemonade,Shawarma
719735,Water,Shawarma
608062,Mango juice,Shawarma
608704,Coke,Shawarma
520383,Water,Shawarma
603793,water,Shawarma
603933,sprite,Shawarma
605519,Water,Shawarma
524803,Beer,Shawarma
629712,Nestea,Shawarma
627505,Water,Shawarma
526131,"I would pair it with water, since they often have a lot of fat and I wouldn't want to also take soft drinks on top of it.",Shawarma
607065,Iced Tea,Shawarma
500077,Coke Zero,Shawarma
633350,"Gingerale

 ",Shawarma
601945,Diet coke,Shawarma
629878,Water,Shawarma
712766,Water,Shawarma
603664,water,Shawarma
840827,Water,Shawarma
604897,Lemonade,Shawarma
525422,Water,Shawarma
602560,Never personally had shawarma but I'd expect to pair it up with maybe a lemonade or ice tea?,Shawarma
738379,The Avengers,Shawarma
622023,Coke Zero,Shawarma
604770,no drink,Shawarma
608318,Coke,Shawarma
626757,Pop,Shawarma
745297,Coke,Shawarma
627599,Nestea,Shawarma
520037,Pepsi,Shawarma
632189,Water,Shawarma
627636,Water,Shawarma
295428,soft drink,Shawarma
228777,sprite ,Shawarma
609278,Sugarcane juice,Shawarma
614089,Coke,Shawarma
607517,Fruit Juice,Shawarma
714607,Peach Green Tea,Shawarma
716650,I would pair this item with a ginger ale because that is the most frequent drink purchased with this food item.,Shawarma
497695,Water,Shawarma
496858,Maybe some mango lassi,Shawarma
608688,Soda,Shawarma
604386,water,Shawarma
628559,Soda,Shawarma
715152,I usually like water,Shawarma
604110,Sprite,Shawarma
629010,Water,Shawarma
605254,Diet Coke,Shawarma
628990,Soda,Shawarma
625295,Pop,Shawarma
603415,Soda,Shawarma
635533,Coke,Shawarma
630389,Coke,Shawarma
714901,Pepsi or Coca Cola,Shawarma
629792,pop,Shawarma
629025,Pepsi,Shawarma
524441,Pepsi,Shawarma
